"","year","deaths","rate","deathsm","ageadjusted"
"1",2017,2814000,860.000061035156,2.81399989128113,731.900024414062
"2",2016,2744248,850,2.7442479133606,728.799987792969
"3",2015,2712630,839.999938964844,2.71263003349304,733.099975585938
"4",2014,2626418,820,2.6264181137085,724.599975585938
"5",2013,2596993,820,2.59699296951294,731.900024414062
"6",2012,2543279,810.000061035156,2.54327893257141,732.799987792969
"7",2011,2515458,810.000061035156,2.51545810699463,741.299987792969
"8",2010,2468435,800,2.46843504905701,747
"9",2009,2437163,790,2.43716311454773,749.599975585938
"10",2008,2471984,810.000061035156,2.47198390960693,774.900024414062
"11",2007,2423712,800,2.42371201515198,775.299987792969
"12",2006,2426264,810.000061035156,2.42626404762268,791.799987792969
"13",2005,2448017,830,2.44801688194275,815
"14",2004,2397615,820,2.3976149559021,813.700012207031
"15",2003,2448288,839.999938964844,2.44828796386719,843.5
"16",2002,2443387,850,2.44338703155518,855.900024414062
"17",2001,2416425,850,2.41642498970032,858.799987792969
"18",2000,2403351,850,2.4033510684967,869
"19",1999,2391399,860.000061035156,2.39139890670776,875.599975585938
"20",1998,2337256,850,2.33725595474243,870.099975585938
"21",1997,2314245,850,2.31424498558044,877.700012207031
"22",1996,2314690,860.000061035156,2.31469011306763,893.700012207031
"23",1995,2312132,870,2.31213188171387,909.5
"24",1994,2278994,870,2.27899408340454,913.200012207031
"25",1993,2268553,870,2.26855301856995,925.799987792969
"26",1992,2175613,850,2.17561292648315,905.299987792969
"27",1991,2169518,860.000061035156,2.169517993927,921.900024414062
"28",1990,2148463,860.000061035156,2.14846301078796,938
"29",1989,2150466,870,2.150465965271,949.900024414062
"30",1988,2167999,889.999938964844,2.16799902915955,975.099975585938
"31",1987,2123323,880,2.1233229637146,969.599975585938
"32",1986,2105361,880,2.10536098480225,978.400024414062
"33",1985,2086440,880,2.08644008636475,987.799987792969
"34",1984,2039369,860.000061035156,2.03936910629272,982.099975585938
"35",1983,2019201,860.000061035156,2.01920104026794,990
"36",1982,1974797,850,1.97479701042175,984.900024414062
"37",1981,1977981,860.000061035156,1.97798097133636,1007
"38",1980,1989841,880,1.98984098434448,1038.69995117188
"39",1979,1913841,850,1.91384100914001,1010.59997558594
"40",1978,1927788,870,1.9277880191803,1043.69995117188
"41",1977,1899597,860.000061035156,1.89959704875946,1051.59997558594
"42",1976,1909440,880,1.90944004058838,1084.09997558594
"43",1975,1892879,880,1.89287900924683,1094.40002441406
"44",1974,1934388,910.000061035156,1.93438804149628,1151.80004882812
"45",1973,1973003,930,1.9730030298233,1201.19995117188
"46",1972,1963944,939.999938964844,1.96394395828247,1214.80004882812
"47",1971,1927542,930,1.92754197120667,1213.09997558594
"48",1970,1921031,950,1.92103099822998,1222.59997558594
