"","year","rate"
"1",1940,59.2099990844727
"2",1941,51.1399993896484
"3",1942,44.8600006103516
"4",1943,40.6399993896484
"5",1944,43.3699989318848
"6",1945,47.3800010681152
"7",1946,34.7099990844727
"8",1947,10.539999961853
"9",1948,6.57999992370605
"10",1949,2.78999996185303
"11",1950,1.44000005722046
"12",1951,3.65000009536743
"13",1952,4.51000022888184
"14",1953,0.829999983310699
"15",1954,0.439999997615814
"16",1955,0.319999992847443
"17",1956,0.140000000596046
"18",1957,0.0799999982118607
"19",1958,0.0500000007450581
"20",1959,0.0399999991059303
"21",1960,0.0399999991059303
"22",1961,0.0399999991059303
"23",1962,0.0599999986588955
"24",1963,0.0500000007450581
"25",1964,0.0500000007450581
"26",1965,0.0799999982118607
"27",1966,0.28999999165535
"28",1967,1.01999998092651
"29",1968,1.1599999666214
"30",1969,1.53999996185303
"31",1970,1.5
"32",1971,1.14999997615814
"33",1972,0.360000014305115
"34",1973,0.109999999403954
"35",1974,0.140000000596046
"36",1975,0.180000007152557
"37",1976,0.219999998807907
"38",1977,0.25
"39",1978,0.340000003576279
"40",1979,0.409999996423721
"41",1980,0.910000026226044
"42",1981,0.610000014305115
"43",1982,0.46000000834465
"44",1983,0.349999994039536
"45",1984,0.430000007152557
"46",1985,0.439999997615814
"47",1986,0.469999998807907
"48",1987,0.389999985694885
"49",1988,0.449999988079071
"50",1989,0.509999990463257
"51",1990,0.519999980926514
"52",1991,0.509999990463257
"53",1992,0.430000007152557
"54",1993,0.550000011920929
"55",1994,0.469999998807907
"56",1995,0.550000011920929
"57",1996,0.680000007152557
"58",1997,0.75
"59",1998,0.600000023841858
"60",1999,0.610000014305115
"61",2000,0.569999992847443
"62",2001,0.550000011920929
"63",2002,0.509999990463257
"64",2003,0.490000009536743
"65",2004,0.509999990463257
"66",2005,0.509999990463257
"67",2006,0.5
"68",2007,0.469999998807907
"69",2008,0.419999986886978
"70",2009,0.479999989271164
"71",2010,0.579999983310699
"72",2011,0.560000002384186
"73",2012,0.479999989271164
"74",2013,0.509999990463257
"75",2014,0.540000021457672
"76",2015,0.430000007152557
