"","x","power"
"1",180,0.0249978951482204
"2",181,0.0320628904790978
"3",182,0.0407009950302668
"4",183,0.0511385552713562
"5",184,0.0636024420951949
"6",185,0.078311401946091
"7",186,0.0954661519397254
"8",187,0.115238615769712
"9",188,0.137760833519803
"10",189,0.163114191221364
"11",190,0.191319689912569
"12",191,0.222329995825753
"13",192,0.256023973806806
"14",193,0.292204301396896
"15",194,0.330598594166787
"16",195,0.370864254002396
"17",196,0.412596997817154
"18",197,0.4553427564889
"19",198,0.498612377474844
"20",199,0.54189834447236
"21",200,0.584692565782114
"22",201,0.626504196296764
"23",202,0.666876455298116
"24",203,0.705401483784302
"25",204,0.74173244238684
"26",205,0.775592267904061
"27",206,0.806778761232788
"28",207,0.835165947191623
"29",208,0.860701902512539
"30",209,0.883403469995229
"31",210,0.903348447367823
"32",211,0.920665948214839
"33",212,0.935525675979955
"34",213,0.948126833881962
"35",214,0.958687322631372
"36",215,0.967433767153368
"37",216,0.974592778243958
"38",217,0.980383710511363
"39",218,0.985013037893635
"40",219,0.988670343589916
"41",220,0.991525820065634
"42",221,0.993729100947962
"43",222,0.995409200822044
"44",223,0.996675319117678
"45",224,0.997618266414935
"46",225,0.998312290439278
"47",226,0.998817109256896
"48",227,0.999179995505604
"49",228,0.999437793438197
"50",229,0.999618786651366
"51",230,0.99974436624949
