"","prev","ppv"
"1",0.01,0.0294117647058824
"2",0.02,0.0576923076923077
"3",0.03,0.0849056603773585
"4",0.04,0.111111111111111
"5",0.05,0.136363636363636
"6",0.06,0.160714285714286
"7",0.07,0.184210526315789
"8",0.08,0.206896551724138
"9",0.09,0.228813559322034
"10",0.1,0.25
"11",0.11,0.270491803278689
"12",0.12,0.290322580645161
"13",0.13,0.30952380952381
"14",0.14,0.328125
"15",0.15,0.346153846153846
"16",0.16,0.363636363636364
"17",0.17,0.380597014925373
"18",0.18,0.397058823529412
"19",0.19,0.41304347826087
"20",0.2,0.428571428571429
"21",0.21,0.443661971830986
"22",0.22,0.458333333333333
"23",0.23,0.472602739726027
"24",0.24,0.486486486486487
"25",0.25,0.5
"26",0.26,0.513157894736842
"27",0.27,0.525974025974026
"28",0.28,0.538461538461538
"29",0.29,0.550632911392405
"30",0.3,0.5625
"31",0.31,0.574074074074074
"32",0.32,0.585365853658537
"33",0.33,0.596385542168675
"34",0.34,0.607142857142857
"35",0.35,0.61764705882353
"36",0.36,0.627906976744186
"37",0.37,0.637931034482759
"38",0.38,0.647727272727273
"39",0.39,0.657303370786517
"40",0.4,0.666666666666667
"41",0.41,0.675824175824176
"42",0.42,0.684782608695652
"43",0.43,0.693548387096774
"44",0.44,0.702127659574468
"45",0.45,0.710526315789474
"46",0.46,0.71875
"47",0.47,0.72680412371134
"48",0.48,0.73469387755102
"49",0.49,0.742424242424242
"50",0.5,0.75
"51",0.51,0.757425742574257
"52",0.52,0.764705882352941
"53",0.53,0.771844660194175
"54",0.54,0.778846153846154
"55",0.55,0.785714285714286
"56",0.56,0.792452830188679
"57",0.57,0.799065420560748
"58",0.58,0.805555555555556
"59",0.59,0.811926605504587
"60",0.6,0.818181818181818
"61",0.61,0.824324324324324
"62",0.62,0.830357142857143
"63",0.63,0.836283185840708
"64",0.64,0.842105263157895
"65",0.65,0.847826086956522
"66",0.66,0.853448275862069
"67",0.67,0.858974358974359
"68",0.68,0.864406779661017
"69",0.69,0.869747899159664
"70",0.7,0.875
"71",0.71,0.880165289256198
"72",0.72,0.885245901639344
"73",0.73,0.890243902439024
"74",0.74,0.895161290322581
"75",0.75,0.9
"76",0.76,0.904761904761905
"77",0.77,0.909448818897638
"78",0.78,0.9140625
"79",0.79,0.918604651162791
"80",0.8,0.923076923076923
"81",0.81,0.927480916030534
"82",0.82,0.931818181818182
"83",0.83,0.93609022556391
"84",0.84,0.940298507462687
"85",0.85,0.944444444444444
"86",0.86,0.948529411764706
"87",0.87,0.952554744525547
"88",0.88,0.956521739130435
"89",0.89,0.960431654676259
"90",0.9,0.964285714285714
"91",0.91,0.968085106382979
"92",0.92,0.971830985915493
"93",0.93,0.975524475524476
"94",0.94,0.979166666666667
"95",0.95,0.982758620689655
"96",0.96,0.986301369863014
"97",0.97,0.989795918367347
"98",0.98,0.993243243243243
"99",0.99,0.996644295302013
