"","tar","nicotine"
"1",3,0.300000011920929
"2",14,1.20000004768372
"3",16,1.29999995231628
"4",10,1
"5",18,1.39999997615814
"6",13,1.20000004768372
"7",1,0.100000001490116
"8",10,0.899999976158142
"9",16,1.29999995231628
"10",13,1.10000002384186
"11",15,1.20000004768372
"12",12,1
"13",8,0.899999976158142
"14",12,1.29999995231628
"15",13,1.20000004768372
"16",15,1.29999995231628
"17",12.8999996185303,0.889999985694885
"18",16,1.20000004768372
"19",17,1.29999995231628
"20",4,0.400000005960464
"21",13,1.10000002384186
"22",3,0.400000005960464
"23",1,0.200000002980232
"24",13,1.10000002384186
"25",16,1.29999995231628
"26",11,1
"27",16,1.29999995231628
"28",16,1.29999995231628
"29",19,1.39999997615814
"30",10,1.10000002384186
"31",16,1.20000004768372
"32",16,1.20000004768372
"33",9,1
"34",4,0.5
"35",0.699999988079071,0.0900000035762787
