"","country","per_capita"
"1","Australia",4543
"2","Austria",5440
"3","Belgium",4774
"4","Canada",4826
"5","Chile",1915
"6","Czech Republic",2616
"7","Denmark",5183
"8","Estonia",2125
"9","Finland",4173
"10","France",4902
"11","Germany",5728
"12","Greece",2325
"13","Hungary",2045
"14","Iceland",4581
"15","Ireland",5449
"16","Israel",2834
"17","Italy",3542
"18","Japan",4717
"19","Korea",2897
"20","Latvia",1722
"21","Lithuania",2005
"22","Luxembourg",6475
"23","Mexico",1034
"24","Netherlands",5386
"25","New Zealand",3683
"26","Norway",6351
"27","Poland",1955
"28","Portugal",2888
"29","Slovak Republic",2269
"30","Slovenia",2775
"31","Spain",3371
"32","Sweden",5511
"33","Switzerland",8009
"34","Turkey",1194
"35","United Kingdom",4246
"36","United States",10209
