"","state","occupancy","region"
"1","Alabama",84.5,"Southeast"
"2","Alaska",85.3000030517578,"West"
"3","Arizona",69.4000015258789,"Southwest"
"4","Arkansas",71.8000030517578,"Southeast"
"5","California",85.6999969482422,"West"
"6","Colorado",77.8000030517578,"West"
"7","Connecticut",85.1999969482422,"Northeast"
"8","Delaware",87.5,"Southeast"
"9","District of Columbia",90.1999969482422,"Southeast"
"10","Florida",87.3000030517578,"Southeast"
"11","Georgia",83.5,"Southeast"
"12","Hawaii",81.3000030517578,"West"
"13","Idaho",66.4000015258789,"West"
"14","Illinois",71.8000030517578,"Midwest"
"15","Indiana",63.0999984741211,"Midwest"
"16","Iowa",76.1999969482422,"Midwest"
"17","Kansas",69.3000030517578,"Midwest"
"18","Kentucky",86.4000015258789,"Southeast"
"19","Louisiana",75.9000015258789,"Southeast"
"20","Maine",88.8000030517578,"Northeast"
"21","Maryland",87.3000030517578,"Southeast"
"22","Massachusetts",83.9000015258789,"Northeast"
"23","Michigan",82.1999969482422,"Midwest"
"24","Minnesota",84.8000030517578,"Midwest"
"25","Mississippi",87.5999984741211,"Southeast"
"26","Missouri",69.4000015258789,"Midwest"
"27","Montana",66.3000030517578,"West"
"28","Nebraska",74.4000015258789,"Midwest"
"29","Nevada",74.6999969482422,"West"
"30","New Hampshire",89.0999984741211,"Northeast"
"31","New Jersey",84.5,"Northeast"
"32","New Mexico",79.4000015258789,"Southwest"
"33","New York",90.1999969482422,"Northeast"
"34","North Carolina",80.5,"Southeast"
"35","North Dakota",90.1999969482422,"Midwest"
"36","Ohio",82.6999969482422,"Midwest"
"37","Oklahoma",65.6999969482422,"Southwest"
"38","Oregon",65.3000030517578,"West"
"39","Pennsylvania",88.4000015258789,"Northeast"
"40","Rhode Island",89.8000030517578,"Northeast"
"41","South Carolina",84.9000015258789,"Southeast"
"42","South Dakota",90.8000030517578,"Midwest"
"43","Tennessee",74.5,"Southeast"
"44","Texas",67.6999969482422,"Southwest"
"45","Utah",64.1999969482422,"West"
"46","Vermont",82,"Northeast"
"47","Virginia",84.5,"Southeast"
"48","Washington",78.9000015258789,"West"
"49","West Virginia",86.9000015258789,"Southeast"
"50","Wisconsin",77.9000015258789,"Midwest"
"51","Wyoming",80.5999984741211,"West"
