"","age_group"
"1","10-19"
"2","10-19"
"3","10-19"
"4","10-19"
"5","10-19"
"6","10-19"
"7","10-19"
"8","10-19"
"9","10-19"
"10","10-19"
"11","10-19"
"12","10-19"
"13","10-19"
"14","10-19"
"15","10-19"
"16","10-19"
"17","10-19"
"18","10-19"
"19","10-19"
"20","10-19"
"21","10-19"
"22","10-19"
"23","10-19"
"24","10-19"
"25","10-19"
"26","10-19"
"27","10-19"
"28","10-19"
"29","10-19"
"30","10-19"
"31","10-19"
"32","10-19"
"33","10-19"
"34","10-19"
"35","10-19"
"36","10-19"
"37","10-19"
"38","10-19"
"39","10-19"
"40","10-19"
"41","10-19"
"42","10-19"
"43","10-19"
"44","10-19"
"45","10-19"
"46","10-19"
"47","10-19"
"48","10-19"
"49","10-19"
"50","10-19"
"51","10-19"
"52","10-19"
"53","10-19"
"54","10-19"
"55","10-19"
"56","10-19"
"57","10-19"
"58","10-19"
"59","10-19"
"60","10-19"
"61","10-19"
"62","10-19"
"63","10-19"
"64","10-19"
"65","10-19"
"66","10-19"
"67","10-19"
"68","10-19"
"69","10-19"
"70","10-19"
"71","10-19"
"72","10-19"
"73","10-19"
"74","10-19"
"75","10-19"
"76","10-19"
"77","20-29"
"78","20-29"
"79","20-29"
"80","20-29"
"81","20-29"
"82","20-29"
"83","20-29"
"84","20-29"
"85","20-29"
"86","20-29"
"87","20-29"
"88","20-29"
"89","20-29"
"90","20-29"
"91","20-29"
"92","20-29"
"93","20-29"
"94","20-29"
"95","20-29"
"96","20-29"
"97","20-29"
"98","20-29"
"99","20-29"
"100","20-29"
"101","20-29"
"102","20-29"
"103","20-29"
"104","20-29"
"105","20-29"
"106","20-29"
"107","20-29"
"108","20-29"
"109","20-29"
"110","20-29"
"111","20-29"
"112","20-29"
"113","20-29"
"114","20-29"
"115","20-29"
"116","20-29"
"117","20-29"
"118","20-29"
"119","20-29"
"120","20-29"
"121","20-29"
"122","20-29"
"123","20-29"
"124","20-29"
"125","20-29"
"126","20-29"
"127","20-29"
"128","20-29"
"129","20-29"
"130","20-29"
"131","20-29"
"132","20-29"
"133","20-29"
"134","20-29"
"135","20-29"
"136","20-29"
"137","20-29"
"138","20-29"
"139","20-29"
"140","20-29"
"141","20-29"
"142","20-29"
"143","20-29"
"144","20-29"
"145","20-29"
"146","20-29"
"147","20-29"
"148","20-29"
"149","20-29"
"150","20-29"
"151","20-29"
"152","20-29"
"153","20-29"
"154","20-29"
"155","20-29"
"156","20-29"
"157","20-29"
"158","20-29"
"159","20-29"
"160","20-29"
"161","20-29"
"162","20-29"
"163","20-29"
"164","20-29"
"165","20-29"
"166","20-29"
"167","20-29"
"168","20-29"
"169","20-29"
"170","20-29"
"171","20-29"
"172","20-29"
"173","20-29"
"174","20-29"
"175","20-29"
"176","20-29"
"177","20-29"
"178","20-29"
"179","20-29"
"180","20-29"
"181","20-29"
"182","20-29"
"183","30-39"
"184","30-39"
"185","30-39"
"186","30-39"
"187","30-39"
"188","30-39"
"189","30-39"
"190","30-39"
"191","30-39"
"192","30-39"
"193","30-39"
"194","30-39"
"195","30-39"
"196","30-39"
"197","30-39"
"198","30-39"
"199","30-39"
"200","30-39"
"201","30-39"
"202","30-39"
"203","40-49"
"204","40-49"
"205","40-49"
"206","40-49"
"207","50-59"
"208","50-59"
"209","60-69"
"210","60-69"
"211","60-69"
