"","fluoride","caries"
"1",0,810
"2",0,673
"3",0,722
"4",0.100000001490116,706
"5",0.100000001490116,823
"6",0.100000001490116,1037
"7",0.100000001490116,772
"8",0.200000002980232,733
"9",0.200000002980232,703
"10",0.300000011920929,652
"11",0.400000005960464,556
"12",0.5,444
"13",0.600000023841858,412
"14",0.899999976158142,343
"15",1.20000004768372,258
"16",1.20000004768372,303
"17",1.20000004768372,281
"18",1.29999995231628,323
"19",1.79999995231628,252
"20",1.89999997615814,236
"21",2.59999990463257,246
