"","weight","number","midpoint","freq"
"1","""0-499""",5863,250,0.0052000000141561
"2","""500-999""",20689,750,0.0052000000141561
"3","""1000-1499""",29040,1250,0.00730000017210841
"4","""1500-1999""",62862,1750,0.0157999992370605
"5","""2000-2499""",202415,2250,0.0509000010788441
"6","""2500-2999""",729673,2750,0.18350000679493
"7","""3000-3499""",1544024,3250,0.388399988412857
"8","""3500-3999""",1062456,3750,0.267300009727478
"9","""4000-4499""",274404,4250,0.0689999982714653
"10","""4500-4999""",38796,4750,0.00970000028610229
"11","""5000-5500""",4654,5250,0.0052000000141561
