"","bmi","sensitivity","specificity","x"
"1",18,1,0,1
"2",20,1,0.00999999977648258,0.990000009536743
"3",22,0.990000009536743,0.115000002086163,0.884999990463257
"4",24,0.949999988079071,0.41499999165535,0.585000038146973
"5",26,0.850000023841858,0.600000023841858,0.399999976158142
"6",28,0.660000026226044,0.735000014305115,0.264999985694885
"7",30,0.469999998807907,0.865000009536743,0.134999990463257
"8",32,0.340000003576279,0.915000021457672,0.0849999785423279
"9",34,0.209999993443489,0.930000007152557,0.0699999928474426
"10",36,0.170000001788139,0.970000028610229,0.0299999713897705
"11",38,0.0700000002980232,0.980000019073486,0.0199999809265137
"12",40,0.00999999977648258,0.995000004768372,0.00499999523162842
